freqs,times,roi,power,degree,coreness,efficiency
11.0,1,MT,8.117843,3.352012,3.9121726,4.208956
11.0,1,V6A,2.578236,0.83837754,1.0710245,-0.69657934
11.0,1,PIP,3.5783246,3.0558622,1.5263207,1.2053624
11.0,1,V2,10.805894,8.498147,7.282336,8.081114
11.0,1,V1,17.091864,13.964665,12.954746,15.240871
11.0,1,LIP,3.7903385,1.8942176,0.37129512,2.523924
11.0,1,a24c,2.578417,-1.0386534,-0.30908403,-1.0550796
11.0,1,STPc,3.0811448,2.1623068,1.869991,1.178443
11.0,1,VIP,1.0025263,-0.067079365,-0.18240573,0.25343183
11.0,1,Thal,0.7424599,-0.112015136,-0.52744687,0.20899552
11.0,1,MST,2.889732,-0.14708495,-0.65223426,-0.35739678
11.0,1,a46V,1.8137212,1.7322346,1.1084758,1.1537325
11.0,1,Putamen,-0.4691871,-0.34147388,-0.5773354,-0.35954693
11.0,1,Ins,0.69578135,-0.38259006,0.81888,-0.13555695
11.0,1,Caudate,0.6438264,-0.30108118,-0.39735803,0.5229215
11.0,1,a7op,1.4191915,1.4229256,1.9903648,-0.5911426
11.0,1,MB,0.9353933,1.8184102,0.3553096,1.1228614
11.0,1,a32,0.4377847,0.43662974,-0.15128525,0.30345437
11.0,1,MIP,1.427434,1.6096882,0.7786235,1.9421751
11.0,1,a13,0.99778634,0.5029821,-0.25621516,0.32897392
11.0,1,V4,4.4331975,1.0355521,0.72938883,0.90754795
11.0,1,V3,7.312816,2.539249,2.0287843,1.785077
11.0,1,a11,1.3096793,-1.8946638,-1.4960158,-0.5281322
11.0,1,a45A,1.3902882,0.50166905,-0.9070476,0.119138576
11.0,1,a24D,0.89429104,-3.7029455,-3.0596356,-0.8053932
11.0,2,a46D,5.8156366,0.92963046,1.606679,0.011766399
11.0,2,a8B,3.9317522,1.9036579,1.4842362,0.06475653
11.0,2,F6,3.2945197,-0.7080474,-0.89081377,-0.59164387
11.0,2,a9/46D,4.8821864,0.91805255,1.2236977,0.53032064
11.0,2,a8M,5.6217785,2.3022144,2.3550189,2.6037447
11.0,2,F7,5.9207926,1.7233433,1.1016047,0.52228594
11.0,2,a8r,4.656497,0.42763022,1.6571865,0.8681738
11.0,2,a8L,5.6212106,2.3319032,2.5469108,2.077552
11.0,2,F2,4.565989,2.4010212,3.1253722,2.5916643
11.0,2,a44,3.5850213,-0.6918949,0.8593247,-0.33304456
11.0,2,F1,3.0551186,0.6321716,1.2682585,-0.19562681
11.0,2,a3,1.5050923,-0.16633797,1.1106491,0.27130046
11.0,2,a2,3.2569602,1.861211,1.8584871,1.8997414
11.0,2,a1,2.3050632,2.1196303,2.9203558,1.12493
11.0,2,a7B,5.527714,3.3459592,2.557372,2.013009
11.0,2,AIP,4.5117483,1.4350595,1.1968439,1.3185153
11.0,2,a5,4.4486785,2.4901855,2.982153,1.6777887
11.0,2,TPt,2.583497,0.52981216,0.9778591,0.82313526
11.0,2,a7A,3.0654855,3.243325,3.2258549,2.0388644
11.0,2,V4t,4.6189556,2.22652,0.6688491,1.8972392
11.0,2,DP,4.895936,-0.05341386,0.62996364,0.5853234
11.0,2,MT,8.218012,2.7468026,2.8832297,2.7654672
11.0,2,V6A,3.7182477,2.8861728,2.0754068,3.415812
11.0,2,PIP,3.443319,3.187121,2.602995,2.3606806
11.0,2,V2,15.818455,6.602025,4.184748,6.504249
11.0,2,V1,23.212765,10.986951,8.858541,13.041081
11.0,2,LIP,5.3285303,1.531524,1.7407789,1.7004285
11.0,2,a24c,3.278165,0.10897934,0.4918924,0.049998317
11.0,2,STPc,4.2753205,0.9309854,-0.038917188,0.7867258
11.0,2,VIP,0.35569564,1.5339798,0.5758862,0.23639506
11.0,2,Thal,2.2903647,2.1209495,1.0046672,0.7702149
11.0,2,MST,2.016806,-0.9731851,-0.52636474,-0.41808364
11.0,2,a46V,5.4011583,-0.7659067,0.11620481,-0.71950245
11.0,2,Putamen,1.2948987,1.1715004,0.9291627,1.999095
11.0,2,Ins,1.1345174,1.890165,1.9765927,0.9126897
11.0,2,Caudate,2.581696,2.2888954,1.6577908,1.5404721
11.0,2,a7op,1.3722072,1.4252414,3.1425416,1.7374389
11.0,2,MB,2.19164,1.7223086,1.0829203,2.1191678
11.0,2,a32,0.101684816,0.44623527,0.60400265,1.0146576
11.0,2,MIP,1.3009205,1.9733562,1.2214382,0.20950158
